Status,Type,Price | Date,Address,Beds,Baths,Sqft,Lot Size Year Built $/sqft,
Off,,,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"2,382 sqft",–,–
Market,,–,"Irving, TX 75038",–,–,–,1.94 acres,–,–
Off,,,,,,,,,
"",LAND,–,"3513 Wilton Ter, #117",,,,,,
Market,,10/6/15,"Irving, TX 75060",–,–,–,–,–,–
Market,,–,"Irving, TX 75060",–,–,–,–,–,–
Off,,,,,,,,,
"",LAND,–,"3506 Wilton Ter, #113",,,,,,
Market,,–,"Irving, TX 75060",–,–,–,–,–,–
Market,,2/20/14,"Irving, TX 75060",–,–,–,–,–,–
Off,,,,,,,,,
"",LAND,–,"3501 Wilton Ter, #108",,,,,,
Market,,–,"Irving, TX 75060",–,–,–,–,–,–
Market,,12/27/17,"Irving, TX 75060",–,–,–,–,–,–
Off,,,,,,,,,
"",LAND,–,2023 Wilshire Dr,,,,,,
Market,,–,"Irving, TX 75061",–,–,–,100 sqft,–,–
Off,,,,,,,,,
"",LAND,–,3220 Willow Creek Dr,,,,,,
Market,,2/10/16,"Irving, TX 75061",–,–,–,0.33 acres,–,–
Off,,,,,,,,,
"",LAND,–,1922 Williams Rd,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,"8,636 sqft",–,–
Market,,–,"Irving, TX 75060",–,–,–,0.71 acres,–,–
Off,,,,,,,,,
"",LAND,–,1700 Williams Rd,,,,,,
Market,,11/16/20,"Irving, TX 75060",–,–,–,"7,596 sqft",–,–
Off,,,,,,,,,
"",LAND,–,9 Williams Rd,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,5.8 acres,–,–
Off,,,,,,,,,
"",LAND,–,3400 William Dehaes Dr,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,0.32 acres,–,–
Market,,–,"Irving, TX 75039",–,–,–,0.59 acres,–,–
Off,,,,,,,,,
"",LAND,–,3000 Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,89.79 acres,–,–
Off,,,,,,,,,
"",LAND,–,3000 Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,0.8 acres,–,–
Off,,,,,,,,,
"",LAND,–,2345 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,1.26 acres,–,–
Off,,,,,,,,,
"",LAND,–,913 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,"1,873 sqft",–,–
Off,,,,,,,,,
"",LAND,–,913 S Wildwood Dr,,,,,,
Market,,1/9/95,"Irving, TX 75060",–,–,–,"7,971 sqft",–,–
Off,,,,,,,,,
"",LAND,–,911 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,"1,873 sqft",–,–
Off,,,,,,,,,
"",LAND,–,909 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,"1,873 sqft",–,–
Off,,,,,,,,,
"",LAND,–,903 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,"1,873 sqft",–,–
Off,,,,,,,,,
"",LAND,–,520 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,0.44 acres,–,–
Market,,–,"Irving, TX 75060",–,–,–,"7,754 sqft",–,–
Off,,,,,,,,,
"",LAND,–,234 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,0.56 acres,–,–
Market,,–,"Irving, TX 75060",–,–,–,2.22 acres,–,–
Off,,,,,,,,,
"",LAND,–,100 S Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75060",–,–,–,9 acres,–,–
Off,,,,,,,,,
"",LAND,–,600 N Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75061",–,–,–,1.38 acres,–,–
Off,,,,,,,,,
"",LAND,–,600 N Wildwood Dr,,,,,,
Market,,–,"Irving, TX 75061",–,–,–,0.58 acres,–,–
Off,,,,,,,,,
"",LAND,–,23 Wildbriar Dr,,,,,,
Market,,12/27/19,"Irving, TX 75061",–,–,–,"6,599 sqft",–,–
